trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
124657107,5,7/1/2019 0:04,7/1/2019 0:09,4312,34.06699,-118.290878,4410,34.063351,-118.296799,6168,30,One Way,Monthly Pass,standard
124657587,9,7/1/2019 0:07,7/1/2019 0:16,3066,34.063389,-118.23616,3066,34.063389,-118.23616,17584,30,Round Trip,Monthly Pass,electric
124658068,5,7/1/2019 0:20,7/1/2019 0:25,4410,34.063351,-118.296799,4312,34.06699,-118.290878,18920,30,One Way,Monthly Pass,electric
124659747,20,7/1/2019 0:44,7/1/2019 1:04,3045,34.028511,-118.256668,4275,34.01252,-118.285896,6016,1,One Way,Walk-up,standard
124660227,27,7/1/2019 0:44,7/1/2019 1:11,3035,34.048401,-118.260948,3049,34.056969,-118.253593,5867,30,One Way,Monthly Pass,standard
124659507,7,7/1/2019 0:51,7/1/2019 0:58,3056,34.03746,-118.265381,3031,34.044701,-118.252441,18530,30,One Way,Monthly Pass,electric
124662392,37,7/1/2019 1:22,7/1/2019 1:59,3047,34.039982,-118.266403,3047,34.039982,-118.266403,18877,30,Round Trip,Monthly Pass,electric
124663117,8,7/1/2019 2:06,7/1/2019 2:14,3069,34.05088,-118.248253,3022,34.04607,-118.233093,18984,30,One Way,Monthly Pass,electric
124664810,4,7/1/2019 2:43,7/1/2019 2:47,3014,34.05661,-118.237213,3030,34.051941,-118.24353,12126,30,One Way,Monthly Pass,standard
124669422,4,7/1/2019 4:17,7/1/2019 4:21,3075,34.04211,-118.256187,3064,34.04681,-118.256981,12398,30,One Way,Monthly Pass,standard
124669421,4,7/1/2019 4:18,7/1/2019 4:22,4344,34.014309,-118.491341,4344,34.014309,-118.491341,15941,1,Round Trip,Walk-up,smart
124673048,72,7/1/2019 4:23,7/1/2019 5:35,4344,34.014309,-118.491341,4286,,,15936,1,One Way,Walk-up,smart
