trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type,start station name,end station name
156638487,49,4/1/2021 4:35,4/1/2021 5:24,3014,34.05661,-118.237213,3030,34.051941,-118.24353,12215,1,One Way,One Day Pass,standard,Union Station West Portal,Main & 1st
156641187,8,4/1/2021 5:55,4/1/2021 6:03,4491,34.04744,-118.24794,3014,34.05661,-118.237213,5848,365,One Way,Annual Pass,standard,Main & Winston,Union Station West Portal
156641988,13,4/1/2021 6:31,4/1/2021 6:44,4478,34.10424,-118.273697,4401,34.075611,-118.291862,5940,1,One Way,Walk-up,standard,Tracy & Hyperion,Vermont & Beverly
156647409,23,4/1/2021 7:39,4/1/2021 8:02,3063,34.048038,-118.253738,4249,34.020302,-118.281181,20088,365,One Way,Annual Pass,standard,Pershing Square,Figueroa & McCarthy Way
156647604,29,4/1/2021 7:44,4/1/2021 8:13,4215,34.014309,-118.491341,4215,34.014309,-118.491341,15122,1,Round Trip,Walk-up,standard,Downtown Santa Monica E Line Station,Downtown Santa Monica E Line Station
156647703,25,4/1/2021 7:55,4/1/2021 8:20,3005,34.0485,-118.258537,4387,34.03352,-118.241837,12196,30,One Way,Monthly Pass,standard,7th & Flower,Row DTLA
156647387,6,4/1/2021 7:58,4/1/2021 8:04,4212,33.988129,-118.471741,4209,33.996239,-118.477448,15972,30,One Way,Monthly Pass,standard,Windward & Main,Rose & Main
156648007,32,4/1/2021 8:02,4/1/2021 8:34,4249,34.020302,-118.281181,3063,34.048038,-118.253738,20088,365,One Way,Annual Pass,standard,Figueroa & McCarthy Way,Pershing Square
156647697,13,4/1/2021 8:03,4/1/2021 8:16,3062,34.047749,-118.243172,3016,34.052898,-118.241562,17099,30,One Way,Monthly Pass,electric,3rd & San Pedro,Los Angeles & Temple
156647799,17,4/1/2021 8:05,4/1/2021 8:22,4209,33.996239,-118.477448,4209,33.996239,-118.477448,13902,30,Round Trip,Monthly Pass,standard,Rose & Main,Rose & Main
156648569,50,4/1/2021 8:10,4/1/2021 9:00,4483,34.1007,-118.259117,4483,34.1007,-118.259117,16600,30,Round Trip,Monthly Pass,electric,Glendale & Silver Lake,Glendale & Silver Lake
156647898,13,4/1/2021 8:16,4/1/2021 8:29,3040,34.05357,-118.266357,3010,34.037048,-118.254868,20099,30,One Way,Monthly Pass,standard,Wilshire & Witmer,11th & Maple
